Datetime,AHI
2019-08-18,0.500516958067175
2019-08-19,0.5015810149586698
2019-08-20,0.5026402491677305
2019-08-21,0.503734046372587
2019-08-22,0.5047781593332791
2019-08-23,0.5058505266657227
2019-08-24,0.5069498102464455
2019-08-25,0.5078902763836178
2019-08-26,0.5090802474954372
2019-08-27,0.5099165267283748
2019-08-28,0.5109740574710541
2019-08-29,0.5122886727761383
2019-08-30,0.5132820445475452
2019-08-31,0.5145120015201815
2019-09-01,0.5157133389529123
2019-09-02,0.5168164128186268
2019-09-03,0.5179218497012807
2019-09-04,0.5190296546708435
2019-09-05,0.5201398328081802
2019-09-06,0.5212523892050741
2019-09-07,0.5223673289642504
2019-09-08,0.5234846571994
2019-09-09,0.5246043790352026
2019-09-10,0.5255479899782882
2019-09-11,0.5266633782875093
2019-09-12,0.5277823019467358
2019-09-13,0.52890478074431
2019-09-14,0.5292685345538338
2019-09-15,0.530888381894285
2019-09-16,0.5323499053656253
2019-09-17,0.5333667554009661
2019-09-18,0.5344987435338955
2019-09-19,0.5357604161405646
2019-09-20,0.5366422993680996
2019-09-21,0.5380485418058804
2019-09-22,0.5383658345692717
2019-09-23,0.5394901732080376
2019-09-24,0.541236086507618
2019-09-25,0.5413520088180878
2019-09-26,0.5437103542421439
2019-09-27,0.5448694767636196
2019-09-28,0.5450188109148015
2019-09-29,0.546571128828876
2019-09-30,0.5467057331664846
2019-10-01,0.5487114974584225
2019-10-02,0.5499012433006731
2019-10-03,0.5509329281663159
2019-10-04,0.5520955073065458
2019-10-05,0.5532605424549895
2019-10-06,0.5546038291512235
2019-10-07,0.5553052793647497
2019-10-08,0.5564770953529082
2019-10-09,0.5576513868853614
2019-10-10,0.5592560005776798
2019-10-11,0.560225090680139
2019-10-12,0.561411359669509
2019-10-13,0.5632814718954908
2019-10-14,0.5640242566204647
2019-10-15,0.5654575753773775
2019-10-16,0.5652349293520352
2019-10-17,0.5668366617182643
2019-10-18,0.5672887638604817
2019-10-19,0.569991681221662
2019-10-20,0.5704331690988641
2019-10-21,0.5716365539768059
2019-10-22,0.5725995611071246
2019-10-23,0.5740036816696056
2019-10-24,0.5744167897559463
2019-10-25,0.577246041470672
2019-10-26,0.5764856614526442
2019-10-27,0.5788489883083351
2019-10-28,0.5783086752331914
2019-10-29,0.5818998471822984
2019-10-30,0.5822673657019211
2019-10-31,0.5827898036008329
2019-11-01,0.5843238799176173
2019-11-02,0.58555275773494
2019-11-03,0.5867842224267067
2019-11-04,0.5880182794439003
2019-11-05,0.5892549342490013
2019-11-06,0.5904941923160134
2019-11-07,0.5917360591304864
2019-11-08,0.5929805401895417
2019-11-09,0.5942276410018961
2019-11-10,0.5969125540030347
2019-11-11,0.5978194724506388
2019-11-12,0.599089789311836
2019-11-13,0.6007371514373065
2019-11-14,0.5989880978331606
2019-11-15,0.6006148077220463
2019-11-16,0.6038098014485603
2019-11-17,0.6058788491160879
2019-11-18,0.6059697865574427
2019-11-19,0.6068452713840893
2019-11-20,0.6064804034322518
2019-11-21,0.6077382008124957
2019-11-22,0.6089986067753762
2019-11-23,0.6102616267309086
2019-11-24,0.6132518578608529
2019-11-25,0.6149787183919234
2019-11-26,0.6171622598763234
2019-11-27,0.6152602563201699
2019-11-28,0.6173620308141884
2019-11-29,0.618649619366452
2019-11-30,0.6204055654485744
2019-12-01,0.6231139298734962
2019-12-02,0.6244335468250588
2019-12-03,0.6257559619616861
2019-12-04,0.6270811812245628
2019-12-05,0.6287444663728954
2019-12-06,0.6295735460765132
2019-12-07,0.6309068604110636
2019-12-08,0.6322430020135064
2019-12-09,0.6336886118267542
2019-12-10,0.6317563373609211
2019-12-11,0.6330665552370274
2019-12-12,0.6349094150945691
2019-12-13,0.6356951485218163
2019-12-14,0.6368485376341245
2019-12-15,0.6380041192671295
2019-12-16,0.6393272946001783
2019-12-17,0.6406255534054011
2019-12-18,0.6424863698714846
2019-12-19,0.6432022509427292
2019-12-20,0.645686342798209
2019-12-21,0.6464538132068463
2019-12-22,0.6492909028157517
2019-12-23,0.6500488273565369
2019-12-24,0.6496193031771464
2019-12-25,0.6521730406363005
2019-12-26,0.65228846183428
2019-12-27,0.656074489490234
2019-12-28,0.6555899324395651
2019-12-29,0.659465464071377
2019-12-30,0.6614904285109335
2019-12-31,0.6616106328023221
2020-01-01,0.664295390685521
2020-01-02,0.6643977658688313
2020-01-03,0.6657952184217444
2020-01-04,0.6671956130946457
2020-01-05,0.6685989560879296
2020-01-06,0.6700052536150723
2020-01-07,0.6714145119026584
2020-01-08,0.6728267371904074
2020-01-09,0.6749390530939429
2020-01-10,0.672848683393656
2020-01-11,0.6742441238835443
2020-01-12,0.6792205037886818
2020-01-13,0.6806541355111237
2020-01-14,0.6806336113340127
2020-01-15,0.6827970074934161
2020-01-16,0.6842331991406913
2020-01-17,0.6871680979015223
2020-01-18,0.6886235473368806
2020-01-19,0.6908446761906907
2020-01-20,0.69077612873253
2020-01-21,0.6883586956974233
2020-01-22,0.6936953140982477
2020-01-23,0.6959472249230858
2020-01-24,0.6966254396645016
2020-01-25,0.6980972651985525
2020-01-26,0.700380518006496
2020-01-27,0.7002300027825336
2020-01-28,0.7049937430015224
2020-01-29,0.6996211106094958
2020-01-30,0.7008301086113828
2020-01-31,0.7043408338956559
2020-02-01,0.708451978239934
2020-02-02,0.7099525657703776
2020-02-03,0.7114563357612952
2020-02-04,0.7129632949709531
2020-02-05,0.7144734501719898
2020-02-06,0.7183636537316307
2020-02-07,0.7116820230432658
