,Date,Heat,forecast
0,2018-05-24,0.0013120238436385,0.0
1,2018-05-29,0.000121758778303,0.0013018411108018017
2,2018-05-30,5.231842731265422e-05,0.00013573643409354018
3,2018-05-31,0.0001572640701952,5.296423612740034e-05
4,2018-06-01,0.0,0.00015603465415474336
5,2018-06-02,2.1309604704075037e-05,1.8453695138296554e-06
6,2018-06-03,0.0007526361081024,2.1040012119916455e-05
7,2018-06-04,0.0,0.0007441242635060809
8,2018-06-05,0.0,8.862180276088253e-06
9,2018-06-06,0.0,-1.0315624556049151e-07
10,2018-06-07,0.0,1.2007441359377917e-09
11,2018-06-08,0.0,-1.397672503642554e-11
12,2018-06-09,0.0,0.0006235348895889475
13,2018-06-10,0.0,-0.0008369240750713881
14,2018-06-11,0.0045703843929686,-6.317926488421652e-05
15,2018-06-12,0.0038380122671595,0.00459075131758192
16,2018-06-13,0.004939960423831,0.003735566335192471
17,2018-06-14,0.0037386143930941,0.004942977646780392
18,2018-06-15,0.0034527573975436,0.004272263299052416
19,2018-06-16,0.0034875642076561,0.002927463985684815
20,2018-06-17,0.0031210498821261,0.003478398272163388
21,2018-06-18,0.0040704575858802,0.0031253156892487957
22,2018-06-19,0.0038349164426714,0.004059441339303083
23,2018-06-20,0.0026824746736969,0.003834652942760639
24,2018-06-21,0.0040966318089178,0.0031084356494490515
25,2018-06-22,0.0018643871971981,0.003414921302011041
26,2018-06-23,0.0001274439826198,0.0038134671924661286
27,2018-06-24,7.479509803797205e-05,-4.038204659025525e-05
28,2018-06-25,3.714207919832123e-05,0.00045088362856777575
29,2018-06-26,7.022033689167603e-05,-0.000454200230030032
30,2018-06-27,4.23981567232997e-05,0.0003545063299077362
31,2018-06-28,0.0001798945402871,-0.0003662373947459065
32,2018-06-29,9.88784983532066e-05,1.0405388992717384e-05
33,2018-06-30,0.0006646417009493,0.0005027641362818133
34,2018-07-01,0.0033068353218064,0.0005602759808141382
35,2018-07-02,0.0077215159820402,0.0027505792459711865
36,2018-07-03,0.0006515792786514,0.008211478157717753
37,2018-07-04,0.0002692020527977,-0.00012349378486229594
38,2018-07-05,0.0,0.002131404336304844
39,2018-07-06,0.0,-0.00039201679749977094
40,2018-07-07,0.0,0.0006047502299694234
41,2018-07-08,7.034947338979633e-05,-0.0006596037007574999
42,2018-07-09,0.0012850571227971,-0.00012258834858173973
43,2018-07-10,5.893698929575957e-05,0.0013313681662155724
44,2018-07-11,0.0,-0.00015521483289853596
45,2018-07-16,0.0045306745227974,0.0007811698807429171
46,2018-07-17,0.0029884423092071,0.0054374786767466
47,2018-07-18,0.0024454873181739,0.0042736697374186295
48,2018-07-19,0.0051370833365694,0.0002759084306681271
49,2018-07-20,0.0063519407102527,0.0035810726137830385
50,2018-07-21,0.004603211051378,0.005180249753637866
51,2018-07-22,0.0038730761568229,0.004587932383697259
52,2018-07-23,0.0106037329215723,0.00386780856285995
53,2018-07-24,0.0018080252843364,0.010495522392374623
54,2018-07-25,0.0029850986246956,0.0025170221195538515
55,2018-07-26,0.0019650168984854,0.002524280904639086
56,2018-07-27,0.0016795063135127,0.0019068211916600012
57,2018-07-28,0.0028694814989446,0.003944304548866175
58,2018-07-29,0.0022639724740454,0.0037487403040823925
59,2018-07-30,0.0060611903842801,0.004594436120955616
60,2018-07-31,0.0063151542465978,0.003127039146737725
61,2018-08-01,0.0063333053921167,0.006541797729447311
62,2018-08-02,0.0036097989401443,0.005438521778108304
63,2018-08-03,0.0023079814879868,0.003340266130047262
64,2018-08-04,0.0032225366503739,0.005206779841893893
65,2018-08-05,0.0006524362529683,-0.0004495763927184135
66,2018-08-06,0.0009516874882289,0.001824342569153954
67,2018-08-07,0.0045667748538208,-0.0001654599598560067
68,2018-08-08,0.0031513070839631,0.00430036210391945
69,2018-08-21,0.0078586903545415,0.006283959568224327
70,2018-08-22,0.0102774636477988,0.006679336787605171
71,2018-08-23,0.0088179926314397,0.011505991500658647
72,2018-08-24,0.0084116543856604,0.010532597218629581
73,2018-08-25,0.0073135409261642,0.009163085717379208
74,2018-08-26,0.0066690002097553,0.005190275179776014
75,2018-08-27,0.0059900924172122,0.005659201230607512
76,2018-08-28,0.0042204995600816,0.010228873199647468
77,2018-08-29,0.0053115056518839,-0.0017751908227618615
78,2018-08-30,0.0059471395983968,0.005945257215313294
79,2018-08-31,0.0037550140442261,0.006911361228184792
80,2018-09-01,0.0072182859824806,0.0030601162520046874
81,2018-09-02,0.004470632347415,0.00981258984346365
82,2018-09-03,0.0036664080782156,0.005283955228331133
83,2018-09-04,0.0056092709844556,0.0052523568368802705
84,2018-09-05,0.0035484587109142,0.005571994997164346
85,2018-09-06,0.006041495154851,0.0031370000262178344
86,2018-09-07,0.0096387705636313,0.004137522607632246
87,2018-09-08,0.0043883236466272,0.00847661172192474
88,2018-09-09,0.0023221093155572,0.004254179114180777
89,2018-09-10,0.0015836645843541,0.001358959116310359
90,2018-09-11,0.0006153794090594,0.002020413060324496
91,2018-09-12,0.0006312027485765,0.0017821265643816328
92,2018-09-13,0.0006880016517722,0.0013262652276651828
93,2018-09-14,0.000698072404945,0.002224389158809349
94,2018-09-15,0.0007067822702487,0.0017749884282345766
95,2018-09-16,0.0007131753625596,0.0007250489547932838
96,2018-09-17,0.0006237854985319,-0.0004003394949263889
97,2018-09-18,0.0006780501393929,0.0010361941875617476
98,2018-09-19,0.0006999087952458,0.001854768141219799
99,2018-09-20,0.0006924393891873,-0.0019055600570073079
100,2018-09-21,0.0005820465945083,-0.0012649995562515849
