date,co2,humidity,light,pir,temperature
2013-08-23 23:05:27,434.0,53.98,204.0,0.0,22.8
2013-08-23 23:05:30,434.0,53.98,205.0,0.0,22.8
2013-08-24 04:20:52,404.0,53.28,4.0,0.0,23.11
2013-08-25 07:28:31,410.0,57.53,28.0,0.0,23.2
2013-08-25 12:41:00,410.0,60.83,28.0,0.0,23.01
2013-08-25 15:39:39,398.0,61.64,130.0,0.0,23.03
2013-08-25 15:50:29,398.0,61.7,156.0,0.0,23.04
2013-08-25 20:37:19,421.0,59.25,220.0,0.0,23.55
2013-08-25 22:17:37,417.0,58.94,362.0,0.0,23.72
2013-08-25 23:01:08,426.0,58.55,279.0,0.0,23.8
2013-08-25 23:30:27,410.0,58.42,282.0,0.0,23.84
2013-08-26 00:27:47,401.0,58.21,274.0,0.0,24.0
2013-08-26 00:56:55,421.0,57.65,254.0,0.0,24.14
2013-08-26 01:11:58,408.0,57.25,286.0,0.0,24.2
2013-08-26 01:40:25,383.0,56.7,259.0,0.0,24.38
2013-08-26 03:18:58,405.0,56.17,29.0,0.0,24.44
2013-08-26 06:50:04,389.0,56.94,28.0,0.0,23.51
2013-08-26 07:18:36,389.0,56.7,27.0,0.0,23.43
2013-08-26 08:59:06,391.0,56.85,27.0,0.0,23.22
2013-08-26 10:12:43,398.0,57.01,25.0,0.0,23.09
2013-08-26 13:36:55,416.0,58.48,29.0,0.0,22.82
2013-08-26 14:03:45,405.0,58.76,36.0,0.0,22.82
2013-08-26 14:31:45,410.0,58.55,43.0,0.0,22.8
2013-08-26 15:26:34,405.0,57.38,112.0,0.0,22.82
2013-08-26 15:41:11,405.0,57.16,115.0,0.0,22.81
2013-08-26 16:09:54,410.0,56.97,139.0,0.0,22.88
2013-08-26 16:52:54,405.0,56.82,145.0,0.0,22.96
2013-08-26 17:07:05,413.0,56.51,167.0,0.0,22.99
2013-08-26 17:21:35,423.0,56.35,220.0,0.0,23.03
2013-08-26 18:53:01,418.0,55.7,187.0,0.0,23.24
2013-08-26 19:47:34,469.0,56.08,201.0,0.0,23.29
2013-08-26 20:31:50,501.0,56.42,216.0,0.0,23.36
2013-08-26 21:01:00,496.0,56.45,222.0,0.0,23.4
2013-08-26 21:15:32,500.0,56.35,223.0,0.0,23.42
2013-08-26 21:29:21,501.0,56.17,223.0,0.0,23.44
2013-08-26 22:12:11,509.0,55.67,223.0,0.0,23.5
2013-08-26 22:54:09,528.0,55.39,222.0,0.0,23.58
2013-08-26 23:20:51,538.0,55.01,227.0,0.0,23.62
2013-08-26 23:49:01,522.0,54.73,223.0,0.0,23.66
2013-08-27 00:03:22,533.0,54.64,219.0,0.0,23.69
2013-08-27 00:17:32,529.0,54.48,215.0,0.0,23.72
2013-08-27 00:44:49,506.0,54.29,208.0,0.0,23.8
2013-08-27 00:58:21,487.0,54.17,208.0,0.0,23.85
2013-08-27 01:12:13,485.0,54.1,210.0,0.0,23.93
2013-08-27 01:25:49,474.0,53.92,213.0,0.0,24.0
2013-08-27 02:07:12,453.0,53.0,230.0,0.0,24.34
2013-08-27 02:21:40,458.0,52.68,165.0,0.0,24.4
2013-08-27 02:36:20,442.0,52.3,49.0,0.0,24.41
2013-08-27 02:50:31,405.0,52.49,33.0,0.0,24.35
2013-08-27 03:05:28,413.0,52.75,29.0,0.0,24.26
2013-08-27 03:19:19,405.0,52.91,28.0,0.0,24.2
2013-08-27 03:33:00,405.0,53.1,27.0,0.0,24.09
2013-08-27 04:14:58,413.0,53.06,28.0,0.0,23.92
2013-08-27 04:29:19,418.0,52.52,27.0,0.0,23.85
2013-08-27 04:43:19,418.0,52.37,27.0,0.0,23.77
2013-08-27 04:57:09,421.0,52.49,28.0,0.0,23.72
2013-08-27 05:24:10,415.0,52.52,28.0,0.0,23.61
2013-08-27 05:39:03,421.0,52.52,27.0,0.0,23.56
2013-08-27 06:07:41,413.0,52.56,28.0,0.0,23.44
2013-08-27 06:21:50,421.0,52.62,28.0,0.0,23.4
2013-08-27 06:36:18,410.0,52.78,28.0,0.0,23.36
2013-08-27 06:50:51,418.0,52.87,29.0,0.0,23.31
2013-08-27 07:19:11,410.0,53.13,28.0,0.0,23.23
2013-08-27 07:33:11,417.0,53.25,27.0,0.0,23.21
2013-08-27 07:46:59,421.0,53.47,27.0,0.0,23.17
2013-08-27 08:29:19,407.0,54.42,27.0,0.0,23.12
2013-08-27 08:43:49,415.0,54.61,28.0,0.0,23.1
2013-08-27 09:25:37,405.0,55.14,27.0,0.0,23.02
2013-08-27 09:39:58,399.0,55.14,27.0,0.0,23.0
2013-08-27 09:54:19,394.0,54.92,29.0,0.0,22.98
2013-08-27 10:23:38,410.0,53.76,22.0,0.0,22.9
2013-08-27 10:37:57,402.0,53.13,26.0,0.0,22.88
2013-08-27 11:48:27,394.0,50.93,27.0,0.0,22.76
2013-08-27 12:02:11,394.0,50.8,27.0,0.0,22.73
2013-08-27 12:26:17,410.0,50.96,28.0,0.0,22.69
2013-08-27 12:40:26,410.0,51.25,28.0,0.0,22.67
2013-08-27 12:54:30,409.0,51.41,28.0,0.0,22.66
2013-08-27 13:22:37,410.0,52.08,28.0,0.0,22.64
2013-08-27 13:36:27,408.0,52.68,34.0,0.0,22.6
2013-08-27 13:49:40,394.0,53.19,41.0,0.0,22.6
2013-08-27 14:02:17,399.0,53.47,48.0,0.0,22.58
2013-08-27 14:29:25,405.0,54.04,97.0,0.0,22.6
2013-08-27 14:43:50,410.0,54.45,80.0,0.0,22.61
2013-08-27 15:11:30,396.0,54.8,90.0,0.0,22.66
2013-08-27 15:25:07,414.0,54.92,101.0,0.0,22.69
2013-08-27 15:38:36,413.0,55.11,109.0,0.0,22.71
2013-08-27 15:52:47,417.0,55.26,121.0,0.0,22.71
2013-08-27 16:06:47,427.0,55.42,131.0,0.0,22.73
2013-08-27 16:26:34,415.0,55.64,140.0,0.0,22.74
2013-08-27 16:35:36,423.0,55.76,144.0,0.0,22.76
2013-08-27 16:50:36,426.0,55.76,149.0,0.0,22.78
2013-08-27 17:05:11,433.0,55.89,156.0,0.0,22.81
2013-08-27 17:33:57,421.0,56.2,165.0,0.0,22.86
2013-08-27 18:02:08,436.0,56.2,173.0,0.0,22.92
2013-08-27 23:22:56,522.0,55.73,229.0,0.0,23.73
2013-08-27 23:23:02,519.0,55.73,229.0,0.0,23.73
2013-08-29 12:35:53,398.0,62.0,28.0,0.0,22.53
2013-08-29 13:25:23,392.0,62.27,27.0,0.0,22.52
2013-08-29 15:15:13,405.0,62.57,90.0,0.0,22.58
2013-08-29 16:12:20,413.0,62.42,126.0,0.0,22.67
2013-08-29 16:12:25,414.0,62.42,128.0,0.0,22.67
2013-08-29 16:13:04,416.0,62.42,130.0,0.0,22.68
2013-08-29 16:13:25,410.0,62.42,132.0,0.0,22.67
2013-08-29 16:13:41,418.0,62.42,133.0,0.0,22.68
2013-08-29 16:13:52,410.0,62.42,133.0,0.0,22.67
2013-08-29 16:14:12,424.0,62.42,134.0,0.0,22.68
2013-08-29 16:14:29,424.0,62.42,135.0,0.0,22.68
2013-08-29 16:14:43,413.0,62.42,134.0,0.0,22.68
2013-08-29 16:14:55,395.0,62.42,134.0,0.0,22.68
2013-08-29 16:15:11,405.0,62.42,134.0,0.0,22.69
2013-08-29 16:15:27,410.0,62.39,134.0,0.0,22.68
2013-08-29 16:16:05,410.0,62.39,134.0,0.0,22.69
2013-08-29 16:16:41,426.0,62.39,134.0,0.0,22.69
2013-08-29 16:17:06,408.0,62.42,135.0,0.0,22.68
2013-08-29 16:17:28,421.0,62.39,136.0,0.0,22.7
2013-08-29 16:17:45,426.0,62.39,136.0,0.0,22.69
2013-08-29 16:18:04,418.0,62.39,138.0,0.0,22.69
2013-08-29 16:18:18,412.0,62.39,137.0,0.0,22.69
2013-08-29 16:18:29,410.0,62.42,138.0,0.0,22.68
2013-08-29 16:19:23,418.0,62.39,139.0,0.0,22.7
2013-08-29 16:20:32,401.0,62.39,138.0,0.0,22.68
2013-08-29 16:20:57,413.0,62.39,138.0,0.0,22.71
2013-08-29 16:21:26,418.0,62.36,138.0,0.0,22.7
2013-08-29 16:21:44,418.0,62.39,140.0,0.0,22.7
2013-08-29 16:22:11,416.0,62.36,141.0,0.0,22.7
2013-08-29 16:22:16,413.0,62.36,141.0,0.0,22.7
2013-08-29 16:22:39,426.0,62.36,144.0,0.0,22.71
2013-08-29 16:22:56,424.0,62.36,144.0,0.0,22.71
2013-08-29 16:23:19,421.0,62.36,148.0,0.0,22.71
2013-08-29 16:23:31,413.0,62.36,146.0,0.0,22.7
2013-08-29 16:23:49,405.0,62.36,148.0,0.0,22.72
2013-08-29 16:24:04,404.0,62.36,150.0,0.0,22.72
2013-08-29 16:24:12,413.0,62.36,150.0,0.0,22.7
2013-08-29 16:24:27,406.0,62.36,153.0,0.0,22.71
2013-08-29 16:24:41,398.0,62.36,155.0,0.0,22.72
2013-08-29 16:25:11,398.0,62.36,158.0,0.0,22.71
2013-08-29 16:25:32,410.0,62.33,163.0,0.0,22.72
2013-08-29 16:26:02,405.0,62.33,164.0,0.0,22.71
2013-08-29 16:26:24,410.0,62.36,162.0,0.0,22.71
2013-08-29 16:27:09,410.0,62.33,157.0,0.0,22.72
2013-08-29 19:08:55,497.0,60.92,197.0,0.0,23.17
2013-08-29 20:46:02,508.0,60.44,224.0,0.0,23.28
2013-08-29 21:24:13,529.0,60.16,225.0,0.0,23.3
2013-08-29 22:26:13,622.0,60.22,223.0,30.0,23.6
2013-08-29 22:38:12,669.0,60.22,221.0,30.0,23.71
2013-08-29 23:14:00,549.0,59.31,199.0,0.0,23.72
2013-08-29 23:50:10,514.0,58.85,197.0,0.0,23.75
2013-08-30 00:02:30,522.0,58.85,192.0,0.0,23.75
2013-08-30 00:15:07,559.0,59.07,211.0,2.0,23.82
2013-08-30 00:27:43,583.0,59.07,205.0,9.0,24.0
2013-08-30 01:15:32,554.0,57.93,198.0,27.0,24.39
2013-08-30 01:52:07,487.0,57.25,212.0,0.0,24.38
2013-08-30 03:17:26,421.0,58.39,28.0,0.0,23.99
2013-08-30 03:54:57,421.0,58.94,26.0,0.0,23.76
2013-08-30 06:51:47,428.0,61.01,28.0,0.0,23.12
2013-08-30 07:17:05,439.0,61.16,27.0,0.0,23.06
2013-08-30 07:41:46,409.0,61.25,29.0,0.0,23.01
2013-08-30 07:53:26,426.0,61.31,28.0,0.0,22.97
2013-08-30 08:18:16,436.0,61.49,29.0,0.0,22.9
2013-08-30 08:30:56,421.0,61.79,28.0,0.0,22.9
2013-08-30 08:43:06,405.0,62.03,28.0,0.0,22.88
2013-08-30 09:07:36,413.0,62.18,27.0,0.0,22.84
2013-08-30 09:33:16,412.0,62.42,28.0,0.0,22.79
2013-08-30 10:12:04,413.0,62.66,28.0,0.0,22.73
2013-08-30 11:26:54,422.0,62.6,28.0,0.0,22.77
2013-08-30 11:39:42,413.0,62.57,28.0,0.0,22.77
2013-08-30 12:40:15,433.0,62.21,27.0,0.0,22.75
2013-08-30 14:55:44,418.0,62.78,102.0,0.0,22.66
2013-08-30 15:07:44,413.0,62.78,120.0,0.0,22.68
2013-08-30 15:20:42,413.0,62.93,124.0,0.0,22.69
2013-08-30 15:33:44,418.0,62.99,136.0,0.0,22.72
2013-08-30 16:25:31,431.0,62.84,141.0,0.0,22.77
2013-08-30 17:16:38,490.0,62.21,160.0,0.0,22.81
2013-08-30 17:41:56,501.0,62.06,167.0,0.0,22.86
2013-08-30 18:07:04,503.0,61.7,174.0,0.0,22.92
2013-08-30 18:30:45,501.0,61.52,180.0,0.0,22.99
2013-08-30 18:55:38,529.0,61.22,183.0,0.0,23.03
2013-08-30 19:33:05,527.0,60.92,198.0,0.0,23.12
2013-08-30 20:22:45,503.0,60.37,217.0,0.0,23.23
2013-08-30 21:23:55,522.0,59.8,225.0,0.0,23.35
2013-08-30 21:59:34,505.0,59.37,225.0,0.0,23.42
2013-08-30 22:11:15,511.0,59.22,224.0,0.0,23.44
2013-08-30 23:49:23,488.0,58.64,221.0,0.0,23.63
2013-08-31 00:13:43,469.0,58.33,212.0,0.0,23.71
2013-08-31 00:51:03,456.0,57.87,199.0,0.0,23.9
2013-08-31 01:03:05,453.0,57.5,197.0,0.0,23.95
2013-08-31 01:39:54,444.0,56.94,202.0,0.0,24.1
2013-08-31 01:51:56,426.0,56.7,208.0,0.0,24.15
2013-08-31 02:05:07,429.0,56.54,202.0,0.0,24.2
2013-08-31 02:24:54,433.0,56.45,62.0,0.0,24.21
2013-08-31 02:28:36,426.0,56.42,51.0,0.0,24.23
2013-08-31 03:20:02,421.0,56.82,28.0,0.0,23.99
2013-08-31 03:33:25,421.0,56.85,28.0,0.0,23.92
2013-08-31 03:46:45,413.0,57.01,27.0,0.0,23.84
2013-08-31 04:34:03,406.0,57.72,27.0,0.0,23.62
2013-08-31 04:45:55,410.0,57.9,28.0,0.0,23.54
2013-08-31 04:58:02,432.0,58.08,27.0,0.0,23.5
2013-08-31 05:10:02,421.0,58.24,28.0,0.0,23.44
2013-08-31 05:22:17,427.0,58.33,28.0,0.0,23.4
2013-08-31 05:57:41,424.0,58.79,27.0,0.0,23.27
2013-08-31 06:09:41,415.0,58.79,29.0,0.0,23.24
2013-08-31 06:34:51,437.0,58.76,28.0,0.0,23.18
2013-08-31 06:47:31,422.0,58.85,27.0,0.0,23.14
2013-08-31 06:59:44,433.0,59.16,28.0,0.0,23.11
2013-08-31 07:11:23,440.0,59.22,28.0,0.0,23.08
2013-08-31 07:23:04,410.0,59.22,27.0,0.0,23.06
2013-08-31 07:35:01,429.0,59.34,28.0,0.0,23.02
2013-08-31 07:58:54,432.0,59.34,29.0,0.0,22.98
2013-08-31 08:11:31,426.0,59.61,27.0,0.0,22.94
2013-08-31 08:24:11,426.0,59.61,28.0,0.0,22.91
2013-08-31 08:49:56,425.0,59.83,28.0,0.0,22.86
2013-08-31 09:01:54,427.0,59.68,28.0,0.0,22.82
2013-08-31 09:14:37,421.0,59.65,28.0,0.0,22.8
2013-08-31 09:39:16,405.0,59.92,27.0,0.0,22.74
2013-08-31 09:51:46,418.0,59.77,28.0,0.0,22.7
2013-08-31 10:04:31,421.0,59.77,28.0,0.0,22.67
2013-08-31 10:17:14,405.0,59.71,28.0,0.0,22.64
2013-08-31 10:29:45,410.0,59.65,28.0,0.0,22.61
2013-08-31 10:41:31,423.0,59.74,28.0,0.0,22.6
2013-08-31 10:53:46,418.0,59.77,27.0,0.0,22.56
2013-08-31 11:17:50,415.0,59.55,28.0,0.0,22.49
2013-08-31 11:42:54,410.0,59.43,27.0,0.0,22.46
2013-08-31 12:07:01,410.0,59.46,27.0,0.0,22.39
2013-08-31 12:19:01,407.0,59.52,28.0,0.0,22.34
2013-08-31 12:30:25,405.0,59.58,26.0,0.0,22.32
2013-08-31 12:42:44,413.0,59.61,25.0,0.0,22.3
2013-08-31 12:55:10,410.0,59.65,27.0,0.0,22.29
2013-08-31 13:08:20,412.0,59.83,27.0,0.0,22.28
2013-08-31 13:20:45,410.0,59.83,27.0,0.0,22.26
2013-08-31 13:43:25,418.0,60.01,32.0,0.0,22.23
2013-08-31 13:54:59,405.0,60.25,37.0,0.0,22.23
2013-08-31 14:07:13,398.0,60.47,45.0,0.0,22.22
2013-08-31 14:19:33,413.0,60.37,57.0,0.0,22.22
2013-08-31 14:44:00,424.0,60.31,72.0,0.0,22.26
2013-08-31 15:09:02,410.0,60.04,129.0,0.0,22.3
2013-08-31 15:21:13,405.0,59.95,127.0,0.0,22.3
2013-08-31 16:44:23,401.0,59.46,149.0,0.0,22.31
2013-08-31 17:46:20,407.0,59.86,170.0,0.0,22.36
2013-08-31 17:58:31,400.0,59.95,174.0,0.0,22.36
2013-08-31 18:10:50,405.0,59.89,178.0,0.0,22.38
2013-08-31 18:23:29,418.0,59.83,181.0,0.0,22.4
