date,co2,humidity,light,pir,temperature
2013-08-24 20:47:50,365.0,50.51,4.0,0.0,24.36
2013-08-25 02:51:49,334.0,51.03,4.0,0.0,24.66
2013-08-25 10:18:28,339.0,53.63,2.0,0.0,24.44
2013-08-25 11:30:38,339.0,54.04,5.0,0.0,24.38
2013-08-25 11:44:58,350.0,54.1,4.0,0.0,24.36
2013-08-25 12:27:08,343.0,54.39,4.0,0.0,24.34
2013-08-25 13:21:38,340.0,54.76,3.0,0.0,24.3
2013-08-25 14:16:08,340.0,55.14,4.0,0.0,24.25
2013-08-25 14:30:08,344.0,55.23,4.0,0.0,24.23
2013-08-25 14:58:08,348.0,55.33,3.0,0.0,24.22
2013-08-25 15:25:58,354.0,55.45,4.0,0.0,24.22
2013-08-25 16:35:48,337.0,55.73,3.0,0.0,24.2
2013-08-25 16:49:57,334.0,55.7,2.0,0.0,24.19
2013-08-25 17:03:27,337.0,55.7,4.0,0.0,24.18
2013-08-25 18:14:38,344.0,55.67,4.0,0.0,24.12
2013-08-25 19:26:27,348.0,55.51,3.0,0.0,24.09
2013-08-25 19:40:27,360.0,55.51,5.0,0.0,24.09
2013-08-25 20:37:19,350.0,55.51,4.0,0.0,24.05
2013-08-25 22:17:37,339.0,55.7,4.0,0.0,24.0
2013-08-25 23:01:08,337.0,55.7,4.0,0.0,23.97
2013-08-25 23:30:27,342.0,55.73,4.0,0.0,23.96
2013-08-26 00:13:08,347.0,55.86,4.0,0.0,23.97
2013-08-26 00:27:47,334.0,55.86,4.0,0.0,23.96
2013-08-26 00:42:46,338.0,55.83,3.0,0.0,23.96
2013-08-26 01:11:58,345.0,55.7,3.0,0.0,23.96
2013-08-26 01:54:26,332.0,55.51,5.0,0.0,23.96
2013-08-26 02:36:07,339.0,55.51,4.0,0.0,23.98
2013-08-26 02:49:57,337.0,55.45,3.0,0.0,23.97
2013-08-26 04:28:47,342.0,55.33,2.0,0.0,23.97
2013-08-26 05:24:36,334.0,55.17,4.0,0.0,23.95
2013-08-26 07:18:36,336.0,54.54,3.0,0.0,23.86
2013-08-26 08:29:35,332.0,54.32,5.0,0.0,23.82
2013-08-26 08:59:06,327.0,54.23,3.0,0.0,23.79
2013-08-26 10:12:43,339.0,54.07,2.0,0.0,23.76
2013-08-26 10:54:15,339.0,54.04,4.0,0.0,23.74
2013-08-26 11:08:15,332.0,54.01,2.0,0.0,23.73
2013-08-26 12:04:46,318.0,53.92,3.0,0.0,23.7
