,Date,Energy,forecast
0,2018-04-10,5.46046511627907,0.0
1,2018-04-11,12.5125,5.723838876086098
2,2018-04-12,12.571527777777778,13.046577995637866
3,2018-04-13,12.073611111111113,12.614158620489226
4,2018-04-14,15.793055555555556,12.040353812739566
5,2018-04-15,17.375,16.06195548634801
6,2018-04-16,16.15921787709497,17.50967948920529
7,2018-04-17,16.170850767085078,16.080206626561203
8,2018-04-18,15.390972222222222,16.166029286530378
9,2018-04-19,15.748611111111112,15.333743834351448
10,2018-04-20,17.135416666666668,15.770589953438618
11,2018-04-21,16.314583333333335,17.238143138198307
12,2018-04-22,16.575,18.941937896927246
13,2018-04-23,9.49375,21.46612291830811
14,2018-04-24,9.160416666666666,8.435711158510056
15,2018-04-25,12.19097222222222,8.681612255021898
16,2018-04-26,16.022916666666667,15.1732966912577
17,2018-04-27,14.62152777777778,17.2265231046919
18,2018-04-28,15.113888888888887,13.502640921851958
19,2018-04-29,16.134027777777778,15.262877288582999
20,2018-04-30,13.72222222222222,15.624945766180378
21,2018-05-01,9.88263888888889,13.840235668296796
22,2018-05-02,9.3125,10.623300282871599
23,2018-05-03,9.543055555555556,8.762420708652964
24,2018-05-04,10.27777777777778,13.787851646087443
25,2018-05-05,13.100694444444445,10.574063995960156
26,2018-05-06,11.649305555555555,13.335268850214906
27,2018-05-07,9.489583333333334,12.64115907335919
28,2018-05-08,9.427083333333334,12.778893276545489
29,2018-05-09,9.239583333333334,9.032507367728442
30,2018-05-10,11.256944444444445,8.787365909934964
31,2018-05-11,15.397916666666667,12.099178020708203
32,2018-05-12,15.72638888888889,14.368421594744415
33,2018-05-13,13.770833333333334,14.356997155359771
34,2018-05-14,15.00625,14.179848465367275
35,2018-05-15,14.9125,14.799410912626774
36,2018-05-16,15.71875,15.43163611947174
37,2018-05-17,15.635416666666666,13.402991212833964
38,2018-05-18,11.65625,15.099069496202112
39,2018-05-19,12.770833333333334,11.763242243815768
40,2018-05-20,13.71875,14.827739034199848
41,2018-05-21,12.714583333333334,12.746959811616804
42,2018-05-22,16.239583333333332,13.907371726426902
43,2018-05-23,15.472550382209867,19.08043548021759
44,2018-05-24,16.084158415841586,13.89267956881885
45,2018-05-29,16.47109471094711,13.39083974416285
46,2018-05-30,15.439583333333331,17.242953702202787
47,2018-05-31,14.960416666666667,15.324364074688496
48,2018-06-01,12.019444444444444,15.648884941639274
49,2018-06-02,9.375694444444443,12.920769860062661
50,2018-06-03,9.288194444444445,6.129208567238315
51,2018-06-04,11.872222222222222,9.06027407384218
52,2018-06-05,14.480555555555556,12.751833287237517
53,2018-06-06,10.10625,14.220724662263839
54,2018-06-07,9.785416666666666,12.292464450080578
55,2018-06-08,9.736805555555556,11.145504039881647
56,2018-06-09,15.042361111111113,9.932354444585956
57,2018-06-10,15.658333333333331,14.9036294772565
58,2018-06-11,16.09861111111111,16.02417682140435
59,2018-06-12,15.545833333333333,15.862457946359042
60,2018-06-13,15.86111111111111,14.526731094226612
61,2018-06-14,16.520138888888887,14.745087703986073
62,2018-06-15,16.085416666666667,14.679255995178407
63,2018-06-16,16.176388888888887,18.144728774819608
64,2018-06-17,16.300694444444446,17.66604568400976
65,2018-06-18,14.813888888888888,13.457040856211052
66,2018-06-19,11.60138888888889,16.668921275061887
67,2018-06-20,13.760416666666666,10.466927014593933
68,2018-06-21,14.463194444444444,16.982496306143368
69,2018-06-22,12.830555555555556,14.648822143402992
70,2018-06-23,9.845138888888888,12.19231333637877
71,2018-06-24,9.827083333333333,8.946693518274094
72,2018-06-25,11.943055555555556,8.509471246316817
73,2018-06-26,9.3125,11.380262123278428
74,2018-06-27,9.063888888888888,8.833745060856245
75,2018-06-28,7.44923504867872,10.46063374961936
76,2018-06-29,0.4236111111111111,8.438304721611008
77,2018-06-30,0.0,-3.7975900944656233
78,2018-07-01,0.0,-1.326101077093191
79,2018-07-02,0.0,1.2490978978366736
80,2018-07-03,0.0,2.9672126280672533
81,2018-07-04,0.0,-0.905821330110102
82,2018-07-05,0.0,-1.1261184289788857
83,2018-07-06,0.0,-0.1255051089201158
84,2018-07-07,0.0,1.2164042912584094
85,2018-07-08,0.0,-1.0781898283545872
86,2018-07-09,0.0,-0.214596413721165
87,2018-07-10,0.0,-0.6716649861320951
88,2018-07-11,0.0,-3.178113616815687
89,2018-07-16,0.0,-0.5052261146370856
90,2018-07-17,0.0,-1.5399489295184616
91,2018-07-18,0.0,1.373629736456846
92,2018-07-19,0.0,0.20436326578458106
93,2018-07-20,0.0,-0.9079432437260407
94,2018-07-21,0.0,-1.4392281619639629
95,2018-07-22,0.0,0.2166979242437268
96,2018-07-23,0.0,1.1091050731849172
97,2018-07-24,0.0,-1.5374163533968825
98,2018-07-25,0.0,0.0691173864628515
99,2018-07-26,0.0,-0.826458500694205
100,2018-07-27,0.0,-3.5556888331994574
101,2018-07-28,0.0,0.3104360560382415
102,2018-07-29,0.0,0.03208918757366229
103,2018-07-30,0.0,-1.6626443969762706e-15
104,2018-07-31,0.0,2.981227458193064e-15
105,2018-08-01,0.0,1.6125725741605333e-15
106,2018-08-02,0.0,-1.467657877761718e-15
107,2018-08-03,0.0,-3.536562260354865e-15
108,2018-08-04,0.0,3.2016870243880415e-15
109,2018-08-05,0.0,3.303807795616514e-16
110,2018-08-06,0.0,-1.2844664069355596e-15
111,2018-08-07,0.0,5.529399608401433e-15
112,2018-08-08,0.0,-1.9631180963872275e-15
113,2018-08-21,0.0,-4.794345342947331e-15
114,2018-08-22,0.0,1.262663484527992e-15
