date,co2,humidity,light,pir,temperature
2013-08-23 23:05:27,430.0,50.32,3.0,0.0,23.84
2013-08-23 23:05:30,437.0,50.32,3.0,0.0,23.84
2013-08-24 12:41:23,392.0,49.48,11.0,30.0,24.18
2013-08-24 12:42:08,394.0,49.48,12.0,30.0,24.17
2013-08-24 12:42:18,389.0,49.48,13.0,30.0,24.16
2013-08-24 12:43:23,405.0,49.61,12.0,30.0,24.18
2013-08-24 12:43:48,413.0,49.61,12.0,30.0,24.18
2013-08-24 12:43:58,416.0,49.61,13.0,30.0,24.18
2013-08-24 12:44:03,407.0,49.61,13.0,30.0,24.19
2013-08-24 12:44:08,413.0,49.65,13.0,30.0,24.19
2013-08-24 13:04:33,421.0,49.71,4.0,30.0,24.21
2013-08-24 13:04:43,413.0,49.74,14.0,30.0,24.21
2013-08-24 13:04:48,413.0,49.74,14.0,30.0,24.2
2013-08-24 13:04:53,413.0,49.74,15.0,30.0,24.2
2013-08-24 13:04:58,413.0,49.74,14.0,30.0,24.21
2013-08-24 13:05:03,413.0,49.77,15.0,30.0,24.2
2013-08-24 13:05:13,416.0,49.81,13.0,30.0,24.21
2013-08-24 13:05:18,407.0,49.81,14.0,30.0,24.21
2013-08-24 13:05:23,410.0,49.81,14.0,30.0,24.21
2013-08-24 13:05:33,415.0,49.81,13.0,30.0,24.21
2013-08-24 13:05:43,433.0,49.84,15.0,30.0,24.21
2013-08-24 13:07:38,437.0,50.03,13.0,30.0,24.21
2013-08-24 13:07:43,442.0,50.03,13.0,30.0,24.2
2013-08-24 13:08:43,439.0,50.16,13.0,30.0,24.21
2013-08-24 13:08:48,430.0,50.16,13.0,30.0,24.21
2013-08-24 13:25:13,445.0,52.84,14.0,30.0,24.28
2013-08-24 16:19:59,394.0,54.26,3.0,0.0,24.4
2013-08-24 17:13:59,394.0,53.06,3.0,0.0,24.4
2013-08-24 18:03:59,389.0,52.27,2.0,0.0,24.43
2013-08-24 22:14:49,413.0,51.09,4.0,0.0,24.54
2013-08-25 01:09:38,389.0,51.19,3.0,0.0,24.69
2013-08-25 05:03:28,394.0,51.73,3.0,0.0,24.8
2013-08-25 07:28:31,407.0,51.98,2.0,0.0,24.71
2013-08-25 13:21:38,389.0,54.7,3.0,0.0,24.52
2013-08-25 14:16:08,397.0,55.05,3.0,0.0,24.48
2013-08-25 20:37:19,401.0,55.39,4.0,0.0,24.32
2013-08-25 21:20:20,394.0,55.42,3.0,0.0,24.3
2013-08-25 22:17:37,395.0,55.51,2.0,0.0,24.26
2013-08-25 23:01:08,405.0,55.51,3.0,0.0,24.26
2013-08-26 00:13:08,383.0,55.64,3.0,0.0,24.24
2013-08-26 00:42:46,375.0,55.64,3.0,0.0,24.26
2013-08-26 04:57:19,389.0,54.95,2.0,0.0,24.3
2013-08-26 06:06:19,379.0,54.7,3.0,0.0,24.26
2013-08-26 09:43:17,375.0,53.76,3.0,0.0,24.12
2013-08-26 10:26:37,375.0,53.7,4.0,0.0,24.11
2013-08-26 13:36:55,373.0,54.01,2.0,0.0,24.04
2013-08-26 14:31:45,383.0,54.1,3.0,0.0,24.06
2013-08-26 15:55:39,381.0,53.28,3.0,0.0,24.03
2013-08-26 16:24:17,383.0,53.25,3.0,0.0,24.04
2013-08-26 17:07:05,405.0,53.06,3.0,0.0,24.07
2013-08-26 17:21:35,398.0,52.97,2.0,0.0,24.07
2013-08-26 17:50:37,398.0,52.81,3.0,0.0,24.08
2013-08-26 18:07:49,426.0,52.75,3.0,0.0,24.1
2013-08-26 18:39:29,405.0,52.71,3.0,0.0,24.12
2013-08-26 19:33:06,433.0,52.78,3.0,0.0,24.19
2013-08-26 20:03:06,472.0,52.91,2.0,0.0,24.22
2013-08-26 20:31:50,565.0,53.38,13.0,0.0,24.38
2013-08-26 20:46:08,538.0,53.22,4.0,0.0,24.44
2013-08-26 21:01:00,506.0,53.13,3.0,0.0,24.42
2013-08-26 21:29:21,501.0,52.94,3.0,0.0,24.46
2013-08-26 22:12:11,506.0,52.62,4.0,0.0,24.45
2013-08-26 22:26:28,504.0,52.56,2.0,0.0,24.45
2013-08-26 22:54:09,517.0,52.43,3.0,0.0,24.44
2013-08-26 23:20:51,517.0,52.3,4.0,0.0,24.45
2013-08-26 23:49:01,514.0,52.11,2.0,0.0,24.48
2013-08-27 00:44:49,506.0,51.92,3.0,0.0,24.52
2013-08-27 00:58:21,501.0,51.89,3.0,0.0,24.54
2013-08-27 01:25:49,469.0,51.83,11.0,30.0,24.55
2013-08-27 01:40:07,490.0,51.79,13.0,0.0,24.58
2013-08-27 01:53:45,464.0,51.73,4.0,0.0,24.6
2013-08-27 02:36:20,450.0,51.51,3.0,0.0,24.61
2013-08-27 03:05:28,418.0,51.47,2.0,0.0,24.61
2013-08-27 03:19:19,410.0,51.51,3.0,0.0,24.61
2013-08-27 03:33:00,410.0,51.51,3.0,0.0,24.6
2013-08-27 04:00:25,410.0,51.44,2.0,0.0,24.6
2013-08-27 04:14:58,402.0,51.28,4.0,0.0,24.59
2013-08-27 04:29:19,394.0,50.96,3.0,0.0,24.59
2013-08-27 04:43:19,389.0,50.74,3.0,0.0,24.59
2013-08-27 04:57:09,410.0,50.64,4.0,0.0,24.56
2013-08-27 05:10:15,419.0,50.58,2.0,0.0,24.56
2013-08-27 05:24:10,405.0,50.45,3.0,0.0,24.56
2013-08-27 05:53:25,399.0,50.26,3.0,0.0,24.52
2013-08-27 06:21:50,394.0,50.1,2.0,0.0,24.52
2013-08-27 06:36:18,405.0,50.1,3.0,0.0,24.5
