Datetime,Chilled Water Rate (L/sec),Cooling Water Temperature (C),Building Load (RT),Chiller Energy Consumption (kWh),Outside Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in)
2019-08-18,93.21249999999999,31.933333333333334,523.6291666666667,121.71041666666667,85.33333333333333,73.33333333333333,68.54166666666667,11.729166666666666,29.834374999999998
2019-08-19,102.53541666666666,30.445833333333336,573.9020833333333,140.5875,85.25,73.14583333333333,68.125,8.291666666666666,29.83375
2019-08-20,103.60625,31.45625,609.7645833333333,156.28125,85.0625,74.79166666666667,72.14583333333333,12.333333333333334,29.79125
2019-08-21,103.0625,31.3125,603.5104166666666,157.0375,85.08333333333333,75.0625,72.54166666666667,10.229166666666666,29.790625000000002
2019-08-22,103.34166666666665,31.71666666666667,621.2354166666667,158.69375,85.0625,74.79166666666667,72.14583333333333,12.333333333333334,29.7925
2019-08-23,101.71063829787234,31.24042553191489,597.8936170212766,149.3872340425532,85.2127659574468,74.17021276595744,70.40425531914893,11.46808510638298,29.824893617021278
2019-08-24,96.96666666666665,31.677083333333332,540.8291666666667,124.68333333333334,84.875,73.35416666666667,69.47916666666667,10.145833333333334,29.816875
2019-08-25,91.96249999999999,31.0625,514.0625,113.60416666666667,83.35416666666667,74.83333333333333,75.9375,6.4375,29.815625
2019-08-26,101.00833333333333,30.8125,588.4104166666667,149.36875,82.41666666666667,75.41666666666667,80.9375,5.916666666666667,29.8075
2019-08-27,95.75106382978724,30.310638297872337,536.5617021276596,129.55744680851063,80.85106382978724,74.93617021276596,83.53191489361703,4.0638297872340425,29.802553191489363
2019-08-28,96.91250000000001,31.047916666666666,535.36875,117.575,80.58333333333333,74.5,83.16666666666667,4.770833333333333,29.8275
2019-08-29,101.58958333333334,31.24791666666667,566.5770833333333,143.58124999999998,84.10416666666667,75.45833333333333,76.375,9.458333333333334,29.793125
2019-08-30,98.74583333333334,30.81041666666667,551.5583333333333,131.92499999999998,83.97916666666667,74.27083333333333,73.04166666666667,9.395833333333334,29.765
2019-08-31,91.46458333333334,30.6375,484.8666666666666,103.71875,84.47916666666667,72.20833333333333,67.9375,10.770833333333334,29.755625
2019-09-01,90.39583333333333,31.52916666666667,505.125,114.37291666666665,84.89583333333333,74.0625,71.0625,7.1875,29.790000000000003
2019-09-02,104.50833333333333,31.91875,616.94375,155.17291666666668,84.89583333333333,74.0625,71.0625,7.1875,29.790000000000003
2019-09-03,105.54375,31.979166666666668,615.58125,158.92916666666667,84.89583333333333,74.0625,71.0625,7.1875,29.790000000000003
2019-09-04,102.57446808510639,30.717021276595744,578.2148936170213,141.1617021276596,84.97872340425532,74.1063829787234,71.0,7.23404255319149,29.78978723404255
2019-09-05,102.95833333333333,31.1875,598.1708333333333,147.95416666666668,84.89583333333333,74.0625,71.0625,7.1875,29.790000000000003
2019-09-06,100.59375,30.87708333333333,577.6916666666667,141.62083333333334,84.89583333333333,74.0625,71.0625,7.1875,29.790000000000003
2019-09-07,95.72291666666666,31.8625,536.2541666666667,122.90208333333334,84.89583333333333,74.0625,71.0625,7.1875,29.790000000000003
2019-09-08,90.98541666666667,31.53333333333333,503.6354166666667,115.27916666666665,84.89583333333333,74.0625,71.0625,7.1875,29.790000000000003
2019-09-09,101.65625,31.256249999999998,586.1916666666667,147.31875,84.89583333333333,74.14583333333333,71.27083333333333,7.1875,29.79125
2019-09-10,101.21458333333334,31.337500000000002,587.4499999999999,143.74166666666667,84.77083333333333,75.3125,73.8125,10.395833333333334,29.8425
2019-09-11,99.57916666666667,30.558333333333334,557.8291666666667,131.29375000000002,84.875,74.625,72.52083333333333,8.333333333333334,29.868125000000003
2019-09-12,99.76041666666667,30.933333333333334,573.0416666666666,141.43125,84.875,74.66666666666667,72.625,8.229166666666666,29.868125000000003
2019-09-13,100.65833333333335,31.2625,576.24375,143.29583333333332,84.83333333333333,75.4375,74.4375,7.541666666666667,29.84875
2019-09-14,95.10888888888888,32.382222222222225,535.4266666666667,125.77111111111111,83.4888888888889,75.35555555555555,76.66666666666667,7.266666666666667,29.832666666666668
2019-09-15,92.20833333333333,30.34375,491.0104166666667,116.27916666666665,84.04166666666667,73.4375,70.70833333333333,9.9375,29.803749999999997
2019-09-16,98.55208333333333,30.960416666666664,544.7458333333333,124.00625000000001,84.25,73.0,70.35416666666667,7.479166666666667,29.784375
2019-09-17,100.92291666666667,31.15416666666667,573.4979166666667,137.99375,84.66666666666667,75.14583333333333,74.29166666666667,8.5,29.80125
2019-09-18,103.31875000000001,31.495833333333334,594.5583333333333,148.64166666666668,84.875,75.66666666666667,74.41666666666667,11.395833333333334,29.821250000000003
2019-09-19,99.89999999999999,30.60625,570.5625,143.99166666666667,84.89583333333333,74.16666666666667,70.9375,11.583333333333334,29.82625
